Stock Name,Stock Code,Issuer Name,Facility Name,Outstanding Amount,Recent Trade Statistics,Unnamed: 6,Unnamed: 7,Trade Liquidity Score,Unnamed: 9,Unnamed: 10,Composite Liquidity Score (5.0 - Most Liquid),Unnamed: 12
,,,,,Last Trade Date,No. of Trades,Turnover Ratio,Trade Recency,Trade Frequency,Trade Turnover,,Date
MNRB HLDGS IMTN 5.200% 22.03.2029,VN190059,MNRB Holdings Berhad,MNRB RM320 MILLION SUBORDINATED SUKUK MURABAHAH (IN COMBINED LIMIT WITH THE SENIOR SUKUK MURABAHAH),320.0,2023-05-09 00:00:00,4,0.003,4,1,1,2.0,2023-05-15 00:00:00
MUAMALAT IMTN 4.500% 13.06.2031,VN210226,Bank Muamalat Malaysia Berhad,MUAMALAT RM1.0B SUBORDINATED SUKUK MURABAHAH,500.0,2023-05-03 00:00:00,2,0.001,4,1,1,2.0,2023-05-15 00:00:00
PIBB T4 SubSukuk Murabahah 4.40% 28.07.2032,VN220272,Public Islamic Bank Berhad,PIBB SUBORDINATED SUKUK MURABAHAH,500.0,2023-05-17 00:00:00,2,0.02,5,1,3,3.0,2023-05-15 00:00:00
RHBBANK IMTN 2.850% 20.10.2025,VI200250,RHB Bank Berhad,RHB BANK RM10.0BIL MULTI-CURRENCY IMTN (SENIOR SUKUK MURABAHAH),300.0,2023-05-02 00:00:00,1,0.017,4,1,2,2.3,2023-05-15 00:00:00
SCC IMTN 25.04.2025,VG220184,Sabah Credit Corporation,SCC RM3.5B SUKUK MUSHARAKAH PROGRAMMES,140.0,2023-04-27 00:00:00,1,0.107,4,1,5,3.3,2023-05-15 00:00:00
SCC IMTN 4.330% 24.07.2029,VN190118,Sabah Credit Corporation,SCC RM3.5B SUKUK MUSHARAKAH PROGRAMMES,50.0,2023-05-08 00:00:00,2,0.4,4,1,5,3.3,2023-05-15 00:00:00
SME BANK IMTN 3.100% 31.07.2026,VI210292,Small Medium Enterprise Development Bank Malaysia Berhad,"SME BANK RM3,000.0 MILLION IMTN PROGRAMME",500.0,2023-04-18 00:00:00,2,0.1,4,1,5,3.3,2023-05-15 00:00:00
SME BANK IMTN 4.040% 04.08.2025,VG220275,Small Medium Enterprise Development Bank Malaysia Berhad,"SME BANK RM3,000.0 MILLION IMTN PROGRAMME",500.0,2023-04-27 00:00:00,3,0.06,4,1,4,3.0,2023-05-15 00:00:00
,,,,,,,,,,,,
,,,,,,,,,,,,
(unit: MYR Mil),,,,,,,,,,,,
Copyright(c) Bond Pricing Agency Malaysia Sdn Bhd. All rights reserved.,,,,,,,,,,,,
